id dam sire LLRdam LLRsire LLRpair OHdam OHsire MEpair ringnr damringnr sireringnr 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020
8L19601_B3_B1 F0169 M0208 15.19 18.33 24.8 NA NA NA 8L19601 F0169 M0208 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19602_D3_B1 F0169 M0208 15.91 18.65 25.21 NA NA NA 8L19602 F0169 M0208 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19605_F3_B1 F0048 8934248_E13_B1 21.19 14.23 31.9 NA 0 NA 8L19605 F0048 8934248 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19606_H3_B1 F0048 8934248_E13_B1 20.91 13.49 31.79 NA 0 NA 8L19606 F0048 8934248 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19607_J3_B1 F0048 8934248_E13_B1 20.16 12.22 30.63 NA 0 NA 8L19607 F0048 8934248 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19608_L3_B1 F0048 8934248_E13_B1 16.3 13.92 22.76 NA 0 NA 8L19608 F0048 8934248 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19609_N3_B1 F0082 8934240_M11_B1 21.6 10.38 31.68 NA 0 NA 8L19609 F0082 8934240 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19610_O4_B1 F0082 8934240_M11_B1 20.62 8.45 30.46 NA 0 NA 8L19610 F0082 8934240 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19611_P3_B1 F0082 8934240_M11_B1 22.71 9.57 32 NA 0 NA 8L19611 F0082 8934240 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19612_A6_B1 F0082 8934240_M11_B1 21.66 9.97 29.71 NA 0 NA 8L19612 F0082 8934240 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19613_B5_B1 8904680_C11_B1 M0067 9.43 18.16 25.81 0 NA NA 8L19613 8904680 M0067 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19614_D5_B1 8904680_C11_B1 M0067 9.37 17.33 26.74 0 NA NA 8L19614 8904680 M0067 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19615_F5_B1 8904680_C11_B1 M0067 9.39 18.24 26.55 0 NA NA 8L19615 8904680 M0067 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19616__MISSEX3 8904680_C11_B1 M0067 9.51 21.81 31.23 0 NA NA 8L19616 8904680 M0067 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19617_H5_B1 8904680_C11_B1 M0067 9.11 18.41 28.51 0 NA NA 8L19617 8904680 M0067 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19618_J5_B1 F0325 M0309 15.3 6.6 8.05 NA NA NA 8L19618 F0325 M0309 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19619_L5_B1 F0325 M0309 13.56 7.17 8.05 NA NA NA 8L19619 F0325 M0309 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
