,Year_ID_Location,Year_ID,ID,Year_Location,Year,Location,Island,in_out,Least_age,Least_hatchyear,filled,obs,capt,gene_new,Sex,Own_survival,N_Recruits,r2s,parent_in_pedigree,present_in_pedigree,ever_a_parent,ringed_ad_recorded,estimated_pop_size,observed_breeding_popsize,ringnr,flok,flokyear,Island_ID,Year2,IslandYear_ID,ob,ringnr_year,Experienced_breeder,sex,IslandFitness,IslandYearFitness,IslandYearSigma_w,RelPop,logPop,VarIslandYearFitness,w,IDYear
6209,2011_8L89669_hestmannøy,2011_8L89669,2388,2011_hestmannøy,14,HestmannÃ¸y,27,0,2,2009,no,obs,NA,NA,m,1,0,2,no,yes,never,226,283,245,8L89669,27,272 011,6,14,116,6181,8L89669 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,1,3690
6219,2011_8L89690_hestmannøy,2011_8L89690,2394,2011_hestmannøy,14,HestmannÃ¸y,27,0,2,2009,no,obs,NA,NA,f,0,1,1,yes,yes,yes,226,283,245,8L89690,27,272 011,6,14,116,6191,8L89690 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0.5,3701
6221,2011_8L89691_hestmannøy,2011_8L89691,2395,2011_hestmannøy,14,HestmannÃ¸y,27,0,2,2009,no,obs,NA,NA,m,0,0,0,yes,yes,yes,226,283,245,8L89691,27,272 011,6,14,116,6193,8L89691 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3703
6223,2011_8L89692_hestmannøy,2011_8L89692,2396,2011_hestmannøy,14,HestmannÃ¸y,27,0,2,2009,no,obs,NA,NA,f,0,0,0,yes,yes,yes,226,283,245,8L89692,27,272 011,6,14,116,6195,8L89692 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3705
6277,2011_8L89741_hestmannøy,2011_8L89741,2418,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,f,0,2,2,yes,yes,yes,226,283,245,8L89741,27,272 011,6,14,116,6249,8L89741 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,1,3763
6289,2011_8L89793_hestmannøy,2011_8L89793,2425,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,m,0,0,0,yes,yes,yes,226,283,245,8L89793,27,272 011,6,14,116,6261,8L89793 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3776
6291,2011_8L89797_hestmannøy,2011_8L89797,2426,2011_hestmannøy,14,HestmannÃ¸y,27,0,2,2009,no,obs,NA,NA,f,0,0,0,yes,yes,yes,226,283,245,8L89797,27,272 011,6,14,116,6263,8L89797 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3778
6295,2011_8L89808_hestmannøy,2011_8L89808,2428,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,capt,NA,m,1,0,2,yes,yes,yes,226,283,245,8L89808,27,272 011,6,14,116,6267,8L89808 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,1,3782
6304,2011_8L89836_hestmannøy,2011_8L89836,2431,2011_hestmannøy,14,HestmannÃ¸y,27,0,2,2009,no,NA,capt,NA,f,1,0,2,no,yes,yes,226,283,245,8L89836,27,272 011,6,14,116,6275,8L89836 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,1,3792
6312,2011_8L89843_hestmannøy,2011_8L89843,2432,2011_hestmannøy,14,HestmannÃ¸y,27,0,2,2009,no,obs,NA,NA,f,0,0,0,no,yes,yes,226,283,245,8L89843,27,272 011,6,14,116,6283,8L89843 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3800
